IMO Number,CO₂ emissions per distance [kg CO₂ / n mile],CO₂eq emissions per distance [kg CO₂eq / n mile]
9168518,219.84,223.2
9168623,249.59,253.5
9168635,283.79,288.23
9169029,450.37,457.46
9169031,417.36,423.91
9169043,456.81,464
9169055,354.57,360.15
9169067,423.6,430.24
9169122,509.35,517.32
9169330,231.48,235.07
9169524,941.8,956.56
9169768,563.99,572.7
9169940,268.97,273.22
9170183,428.42,434.98
9170597,274.55,278.82
9170705,252.6,256.47
9170999,305.14,309.94
9171113,254.75,258.71
9171125,179.41,182.23
9171163,487.5,494.96
9171280,310.55,315.4
9171371,110.2,111.88
9171383,134.44,136.54
9171395,113.35,115.09
9171474,168.83,171.48
9171541,Division by zero!,Division by zero!
9171735,Division by zero!,Division by zero!
9172105,151.54,153.89
9172155,210.09,213.31
9172167,206.93,210.17
9172210,184.08,186.91
9172222,172.38,175.02
9172258,350.92,356.36
9172260,374.17,379.97
9172272,328.62,333.72
9172387,340.61,345.9
9172478,289.09,293.61
9172480,271.59,275.85
9172703,Division by zero!,Division by zero!
9172777,600.09,609.28
9172947,273.66,277.95
9172959,324.74,329.84
9173032,101.03,102.58
9173355,125.19,127.15
9173692,217.25,220.64
9174505,251.96,255.88
9174763,202.38,205.51
9174775,Division by zero!,Division by zero!
9175157,Division by zero!,Division by zero!
9175494,339.05,344.39
9175705,262.62,266.73
9175767,122.96,124.86
9175822,125.73,127.67
9175913,187.75,190.64
9176046,506.02,513.77
9176060,357.4,362.88
9176072,443.63,450.43
9176369,374.72,380.54
9176395,281.68,286.1
9176565,376.65,382.55
9176577,359.46,365.08
9176606,328.14,333.24
9176632,372.45,378.2
9176694,245.3,249.14
9177052,283.58,288.01
9177428,281.91,286.41
9177430,337.53,342.83
9177545,248.08,251.88
9177557,284.31,288.72
9177765,150.11,152.46
9177777,178.23,180.99
9177789,96.33,97.83
9177791,121.21,123.1
9178202,411.1,417.51
9178551,215.13,218.47
9178599,638.82,648.85
9179256,266.76,270.95
9179268,262.58,266.71
9179373,134.56,136.63
9179567,293.72,298.34
9179660,Division by zero!,Division by zero!
9179725,315.35,320.29
9179983,99.9,101.42
9179995,173.69,176.35
9180011,155.08,157.52
9180190,342.03,347.4
9180205,324.62,329.73
9180358,238.25,241.95
9180360,222.56,226.03
9180372,231.99,235.61
9180384,230.29,233.88
9180396,239.45,243.17
9180839,146.73,148.99
9180906,Division by zero!,Division by zero!
9180918,276.95,281.25
9180956,Division by zero!,Division by zero!
9180968,212.44,215.78
9181077,294.43,299.06
9181091,565.76,574.59
